CD,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008
AK-AL,"Young, Don",(R),41.2,55.3,38.1,59.7
AL-01,"Byrne, Bradley",(R),37.4,61.8,38.5,60.9
AL-02,"Roby, Martha",(R),36.4,62.9,35.0,64.5
AL-03,"Rogers, Mike D.",(R),36.8,62.3,36.6,62.6
AL-04,"Aderholt, Rob",(R),24.0,74.8,25.5,73.3
AL-05,"Brooks, Mo",(R),34.9,63.9,36.3,62.6
AL-06,"Palmer, Gary",(R),24.7,74.3,25.0,74.1
AL-07,"Sewell, Terri",(D),72.4,27.1,71.5,28.1
AR-01,"Crawford, Rick",(R),36.3,61.0,39.2,58.0
AR-02,"Hill, French",(R),42.9,54.7,44.3,53.8
AR-03,"Womack, Steve",(R),31.6,65.5,33.9,63.7
AR-04,"Westerman, Bruce",(R),35.9,61.8,37.4,59.9
AZ-01,"Kirkpatrick, Ann",(D),47.9,50.4,47.8,51.0
AZ-02,,(D),48.4,49.9,48.9,49.8
AZ-03,"Grijalva, Raul",(D),61.4,36.9,58.2,40.7
AZ-04,"Gosar, Paul",(R),31.0,67.2,34.4,64.2
AZ-05,"Salmon, Matt",(R),34.6,63.8,36.3,62.6
AZ-06,"Schweikert, David",(R),38.8,59.5,41.2,57.7
AZ-07,"Gallego, Ruben",(D),71.7,26.5,64.7,34.1
AZ-08,"Franks, Trent",(R),36.9,61.7,38.4,60.6
AZ-09,"Sinema, Kyrsten",(D),51.1,46.6,51.3,47.4
CA-01,"LaMalfa, Doug",(R),40.3,56.6,42,53
CA-02,"Huffman, Jared",(D),69.0,27.0,71,25
CA-03,"Garamendi, John",(D),54.3,43.1,55,42
CA-04,"McClintock, Tom",(R),39.5,57.9,43,54
CA-05,"Thompson, Mike",(D),69.7,27.5,70,26
CA-06,"Matsui, Doris",(D),69.1,28.3,68,29
CA-07,"Bera, Ami",(D),50.8,46.8,51,46
CA-08,"Cook, Paul",(R),41.7,55.6,42,55
CA-09,"McNerney, Jerry",(D),57.8,40.1,56,41
CA-10,"Denham, Jeff",(R),50.6,47.0,50,47
CA-11,"DeSaulnier, Mark",(D),67.6,30.0,69,28
CA-12,"Pelosi, Nancy",(D),84.1,12.5,84,13
CA-13,"Lee, Barbara",(D),87.5,9.0,87,10
CA-14,"Speier, Jackie",(D),74.2,23.6,73,24
CA-15,"Swalwell, Eric",(D),68.0,29.8,67,30
CA-16,Jim Costa,(D),58.6,39.4,57,40
CA-17,"Honda, Mike",(D),71.9,25.5,69,28
CA-18,"Eshoo, Anna",(D),68.2,28.9,70,27
CA-19,"Lofgren, Zoe",(D),71.2,26.5,68,29
CA-20,"Farr, Sam",(D),70.9,26.2,71,26
CA-21,"Valadao, David",(R),54.6,43.5,52,46
CA-22,"Nunes, Devin",(R),41.6,56.6,42,55
CA-23,"McCarthy, Kevin",(R),36.1,61.5,36,61
CA-24,"Capps, Lois",(D),54.1,43.1,56,41
CA-25,"Knight, Steve",(R),47.8,49.7,49,48
CA-26,"Brownley, Julia",(D),54.0,43.7,56,41
CA-27,"Chu, Judy",(D),62.6,35.0,61,35
CA-28,"Schiff, Adam",(D),70.3,26.5,70,26
CA-29,"Cardenas, Tony",(D),77.0,20.5,74,23
CA-30,"Sherman, Brad",(D),65.3,32.1,66,31
CA-31,"Aguilar, Pete",(D),57.2,40.6,56,41
CA-32,"Napolitano, Grace",(D),65.2,32.5,62,35
CA-33,"Lieu, Ted",(D),60.6,36.8,64,33
CA-34,"Becerra, Xavier",(D),83.0,14.1,77,19
CA-35,"Torres, Norma",(D),67.4,30.6,64,32
